==========================================================================
PHASE 1C — STAGE 1: AGENT RUNS
==========================================================================
scenarios 100 x frameworks 3 x trials 4 = 1200 runs
temperature 0.3   |   already done 348   |   to run 852
output: results/phase1c/traces
==========================================================================
[   1/852] ok  SR-24    langgraph      t1  4 calls   22.3s  eta 316.4m
[   2/852] ok  SR-24    langgraph      t2  4 calls   16.5s  eta 274.6m
[   3/852] ok  SR-24    langgraph      t3  4 calls   16.2s  eta 259.4m
[   4/852] ok  SR-24    langgraph      t4  4 calls   16.0s  eta 250.9m
[   5/852] ok  SR-24    crewai         t1  8 calls   55.8s  eta 358.0m
[   6/852] ok  SR-24    crewai         t2  5 calls   45.4s  eta 404.8m
[   7/852] ok  SR-24    crewai         t3  8 calls  178.1s  eta 704.8m
[   8/852] ok  SR-24    crewai         t4  6 calls  150.4s  eta 880.4m
[   9/852] ok  SR-24    openai_agents  t1  4 calls   88.7s  eta 920.2m
[  10/852] ok  SR-24    openai_agents  t2  4 calls   65.1s  eta 918.5m
[  11/852] ok  SR-24    openai_agents  t3  4 calls   31.2s  eta 873.8m
[  12/852] ok  SR-24    openai_agents  t4  4 calls   21.1s  eta 824.7m
[  13/852] ok  SR-25    langgraph      t1  2 calls   13.6s  eta 775.0m
[  14/852] ok  SR-25    langgraph      t2  2 calls   12.3s  eta 731.0m
[  15/852] ok  SR-25    langgraph      t3  2 calls   13.5s  eta 694.0m
[  16/852] ok  SR-25    langgraph      t4  2 calls   11.9s  eta 660.3m
[  17/852] ok  SR-25    crewai         t1  2 calls   16.1s  eta 633.9m
[  18/852] ok  SR-25    crewai         t2  2 calls   12.9s  eta 607.9m
[  19/852] ok  SR-25    crewai         t3  2 calls   13.8s  eta 585.3m
[  20/852] ok  SR-25    crewai         t4  2 calls   13.3s  eta 564.6m
[  21/852] ok  SR-25    openai_agents  t1  2 calls   13.5s  eta 545.9m
[  22/852] ok  SR-25    openai_agents  t2  2 calls   12.6s  eta 528.5m
[  23/852] ok  SR-25    openai_agents  t3  2 calls   13.2s  eta 512.8m
[  24/852] ok  SR-25    openai_agents  t4  2 calls   11.0s  eta 497.2m
[  25/852] ok  SR-26    langgraph      t1  2 calls   14.6s  eta 484.7m
[  26/852] ok  SR-26    langgraph      t2  2 calls   13.8s  eta 472.9m
[  27/852] ok  SR-26    langgraph      t3  2 calls   14.0s  eta 461.9m
[  28/852] ok  SR-26    langgraph      t4  2 calls   13.6s  eta 451.5m
[  29/852] ok  SR-26    crewai         t1  2 calls   14.2s  eta 442.1m
[  30/852] ok  SR-26    crewai         t2  2 calls   11.4s  eta 432.1m
[  31/852] ok  SR-26    crewai         t3  2 calls   11.3s  eta 422.6m
[  32/852] ok  SR-26    crewai         t4  2 calls   11.2s  eta 413.7m
[  33/852] ok  SR-26    openai_agents  t1  2 calls   11.8s  eta 405.6m
[  34/852] ok  SR-26    openai_agents  t2  2 calls   11.2s  eta 397.7m
[  35/852] ok  SR-26    openai_agents  t3  2 calls   11.2s  eta 390.2m
[  36/852] ok  SR-26    openai_agents  t4  2 calls   10.1s  eta 382.7m
[  37/852] ok  SR-27    langgraph      t1  6 calls   20.0s  eta 379.2m
[  38/852] ok  SR-27    langgraph      t2  6 calls   18.1s  eta 375.3m
[  39/852] ok  SR-27    langgraph      t3  6 calls   18.0s  eta 371.5m
[  40/852] ok  SR-27    langgraph      t4  6 calls   18.5s  eta 368.0m
[  41/852] ok  SR-27    crewai         t1  6 calls   19.5s  eta 365.0m
[  42/852] ok  SR-27    crewai         t2  6 calls   18.1s  eta 361.7m
[  43/852] ok  SR-27    crewai         t3  6 calls   18.6s  eta 358.7m
[  44/852] ok  SR-27    crewai         t4  6 calls   18.3s  eta 355.7m
[  45/852] ok  SR-27    openai_agents  t1  6 calls   20.3s  eta 353.4m
[  46/852] ok  SR-27    openai_agents  t2  6 calls   18.1s  eta 350.6m
[  47/852] ok  SR-27    openai_agents  t3  6 calls   18.1s  eta 347.9m
[  48/852] ok  SR-27    openai_agents  t4  6 calls   18.5s  eta 345.4m
[  49/852] ok  SR-28    langgraph      t1  6 calls   28.3s  eta 345.6m
[  50/852] ok  SR-28    langgraph      t2  6 calls   29.2s  eta 346.1m
[  51/852] ok  SR-28    langgraph      t3  6 calls   28.5s  eta 346.4m
[  52/852] ok  SR-28    langgraph      t4  6 calls   28.7s  eta 346.6m
[  53/852] ok  SR-28    crewai         t1  6 calls   27.3s  eta 346.5m
[  54/852] ok  SR-28    crewai         t2 16 calls   66.4s  eta 356.0m
[  55/852] ok  SR-28    crewai         t3 12 calls   55.9s  eta 362.6m
[  56/852] ok  SR-28    crewai         t4  6 calls   28.9s  eta 362.6m
[  57/852] ok  SR-28    openai_agents  t1  6 calls   28.4s  eta 362.4m
[  58/852] ok  SR-28    openai_agents  t2  6 calls   27.8s  eta 362.0m
[  59/852] ok  SR-28    openai_agents  t3  6 calls   29.5s  eta 362.0m
